renda_mensal,divida_atual,historico_pagamentos,idade,num_dependentes,inadimplente
3601.83,688.34,68,53,5,0
1607.41,145.64,65,82,0,0
4706.21,648.65,82,22,1,1
5274.85,1556.54,79,72,1,1
930.52,186.52,54,54,5,1
1373.42,344.77,92,66,2,0
3239.17,973.41,74,24,1,0
2481.51,356.78,58,76,1,1
2969.91,930.88,93,18,3,0
1798.2,461.83,84,78,2,1
5084.78,75.14,56,62,0,0
4784.05,1991.82,100,40,4,0
3121.24,389.81,85,18,2,0
5900.03,0.0,75,58,1,0
3971.4,171.74,99,23,4,0
1791.47,83.92,77,58,4,0
3742.91,777.87,75,69,0,0
1687.56,268.19,65,35,0,1
5081.89,759.62,84,33,0,1
2911.47,852.93,82,32,4,1
2685.04,673.89,75,33,3,0
1993.82,493.29,63,25,4,0
6247.22,1633.49,77,34,3,1
2734.35,799.58,74,62,2,1
2320.11,0.0,55,38,3,0
2428.64,352.96,53,70,4,0
4128.85,0.0,83,72,2,0
3735.49,767.3,36,68,5,0
3842.99,765.93,78,54,5,0
3884.93,1386.26,68,39,4,1
10843.88,4100.56,95,80,5,0
2350.82,541.67,68,31,2,0
2206.19,275.65,85,49,0,0
1841.07,502.2,69,48,2,0
4341.41,524.5,77,67,4,1
5906.16,1180.0,86,54,4,0
2801.75,974.79,68,71,2,0
1812.16,210.82,90,79,1,0
1829.28,586.93,60,44,2,1
4432.52,1336.89,79,76,4,1
4685.93,266.07,89,29,0,0
4155.8,1438.26,85,79,1,0
2012.36,613.34,100,29,1,0
3448.4,742.4,64,74,4,0
3217.56,275.59,54,44,2,1
3420.63,243.27,60,82,0,0
5060.52,603.98,85,26,1,0
3430.72,965.37,82,49,0,1
4508.48,255.43,77,78,2,0
3124.14,829.86,58,21,5,0
3568.28,49.02,87,35,3,0
4381.47,742.18,57,23,5,0
1251.47,270.88,92,39,4,0
2476.41,1403.55,100,44,5,0
2262.32,0.0,80,59,1,0
2044.77,860.44,84,35,5,1
2543.46,565.86,68,28,1,0
7356.45,1925.0,48,29,2,0
1784.46,388.57,66,80,4,0
5363.3,1430.44,59,81,1,0
1092.96,193.4,53,32,1,0
2453.91,1026.0,100,31,0,1
3307.74,435.06,79,21,0,0
4264.59,1577.2,81,82,3,1
4596.74,475.05,70,65,5,1
4828.91,922.14,72,68,1,0
2433.61,95.41,89,37,2,0
2273.23,609.8,75,60,5,0
5019.84,2092.11,83,22,4,0
2674.68,503.9,72,63,0,0
1395.43,237.87,70,56,3,0
1519.89,49.86,54,40,0,1
1727.96,286.16,45,65,1,1
4042.68,0.0,71,61,1,0
3267.64,206.08,76,47,3,0
4539.89,1062.42,56,30,1,1
2321.61,923.66,74,19,1,0
3299.39,2050.18,76,80,1,1
4366.52,489.1,43,36,2,0
2491.8,1034.83,61,38,3,1
3945.9,933.45,81,63,2,0
2016.69,357.59,81,35,1,0
2412.78,639.12,58,43,3,1
2385.88,499.33,77,65,3,0
1463.91,317.02,90,57,0,1
4018.05,557.5,87,61,5,0
2263.63,0.0,74,18,5,1
3022.57,0.0,68,48,3,0
4003.06,1192.86,66,49,3,1
3921.72,621.57,82,60,4,0
4472.03,494.55,78,28,2,0
2827.86,569.18,84,28,2,0
2327.12,742.91,77,69,2,1
2859.88,649.35,87,63,0,0
1090.04,110.74,76,72,5,0
1259.03,483.4,87,36,1,1
1356.61,592.67,88,84,1,1
1649.16,452.17,63,36,5,0
3813.23,1319.57,48,61,3,1
1742.51,673.12,98,28,3,0
2391.01,883.51,79,79,1,0
6541.39,1910.84,49,40,1,0
2422.63,701.96,64,71,4,1
4669.83,1297.97,87,40,2,0
1713.33,60.65,71,70,0,0
2652.09,809.18,67,48,5,0
1696.55,0.0,96,22,2,0
2447.81,197.81,59,30,4,0
4966.91,1964.59,63,63,2,0
1064.2,346.96,78,30,3,0
3893.34,1647.31,81,36,4,1
3459.95,550.99,82,54,5,0
2100.39,57.05,89,34,1,0
1259.83,206.53,78,26,4,0
3132.68,674.48,82,59,5,0
2183.47,462.56,71,64,3,1
3449.46,1276.48,76,67,0,1
3039.59,443.2,77,81,1,1
7843.46,1982.87,78,26,1,0
